Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Player Reference,Season,League
Tari Eason,PF,22,HOU,22,480,.466,.504,.360,.513,.636,.528,.175,.265,98,92,98,94,81,91,69,67,-13.2,-22.1,easonta01,2023-2024,NBA
Anthony Edwards,SG,22,MIN,52,1818,.471,.515,.386,.537,.841,.591,.337,.345,99,94,105,98,107,102,133,88,-21.5,20.3,edwaran01,2023-2024,NBA
Kessler Edwards,SF,23,SAC,36,178,.412,.500,.364,.529,.750,.540,.078,.647,86,92,99,97,96,93,31,165,-1.9,-4.5,edwarke02,2023-2024,NBA
Keon Ellis,SG,24,SAC,33,379,.422,.647,.370,.572,.647,.585,.189,.811,89,118,101,104,83,100,74,207,4.4,.4,elliske01,2023-2024,NBA
Joel Embiid,C,29,PHI,34,1157,.533,.562,.366,.560,.883,.645,.534,.149,112,103,100,102,113,111,210,38,18.6,116.0,embiijo01,2023-2024,NBA
Drew Eubanks,C,26,PHO,49,785,.626,.619,1.000,.634,.735,.663,.380,.017,131,113,272,116,94,114,150,4,30.8,33.6,eubandr01,2023-2024,NBA
Tosan Evbuomwan,SF,22,TOT,5,82,.353,.375,.333,.441,,.441,.000,.529,74,69,91,81,,76,,135,-3.6,-4.8,evbuoto01,2023-2024,NBA
Tosan Evbuomwan,SF,22,MEM,4,74,.267,.286,.250,.333,,.333,.000,.533,56,52,68,61,,57,,136,-6.4,-7.5,evbuoto01,2023-2024,NBA
Tosan Evbuomwan,SF,22,DET,1,8,1.000,1.000,1.000,1.250,,1.250,.000,.500,210,183,272,228,,215,,127,2.8,2.7,evbuoto01,2023-2024,NBA
Dante Exum,PG,28,DAL,32,631,.571,.616,.477,.648,.727,.663,.217,.320,120,113,130,118,93,114,85,82,40.5,35.9,exumda01,2023-2024,NBA
Bruno Fernando,C,25,ATL,18,161,.529,.562,.000,.529,.600,.561,.588,.059,111,103,,97,77,96,232,15,-1.9,-2.8,fernabr01,2023-2024,NBA
Dorian Finney-Smith,PF,30,BRK,45,1265,.409,.478,.376,.536,.654,.542,.074,.677,86,87,102,98,83,93,29,173,-8.6,-29.1,finnedo01,2023-2024,NBA
Malachi Flynn,PG,25,TOT,47,544,.402,.478,.347,.503,.788,.535,.201,.579,85,88,95,92,100,92,79,148,-14.8,-17.0,flynnma01,2023-2024,NBA
Malachi Flynn,PG,25,TOR,31,474,.409,.491,.350,.511,.773,.535,.161,.584,86,90,95,93,99,92,63,149,-10.2,-13.9,flynnma01,2023-2024,NBA
Malachi Flynn,PG,25,NYK,14,60,.391,.500,.308,.478,.818,.557,.478,.565,82,92,84,87,104,96,188,144,-3.2,-1.4,flynnma01,2023-2024,NBA
Malachi Flynn,PG,25,DET,2,10,.250,.000,.500,.375,,.375,.000,.500,53,,136,68,,64,,127,-1.4,-1.7,flynnma01,2023-2024,NBA
Simone Fontecchio,SF,28,TOT,53,1238,.450,.559,.387,.573,.778,.588,.113,.636,94,102,106,105,99,101,45,162,19.8,4.2,fontesi01,2023-2024,NBA
Simone Fontecchio,SF,28,UTA,50,1160,.450,.560,.391,.577,.800,.592,.112,.651,94,102,106,105,102,102,44,166,20.6,7.4,fontesi01,2023-2024,NBA
Simone Fontecchio,SF,28,DET,3,78,.450,.550,.350,.537,.600,.545,.125,.500,95,101,95,98,77,94,49,127,-0.8,-3.2,fontesi01,2023-2024,NBA
Jordan Ford,PG,25,SAC,6,22,.571,.500,.667,.714,1.000,.761,.286,.429,120,92,182,130,128,131,112,109,2.3,2.8,fordjo01,2023-2024,NBA
Trent Forrest,SG,25,ATL,20,210,.319,.325,.286,.340,.800,.389,.213,.149,67,59,78,62,102,67,84,38,-19.5,-19.9,forretr01,2023-2024,NBA
Evan Fournier,SG,31,TOT,5,89,.293,.429,.222,.366,.833,.401,.146,.659,61,78,61,67,106,69,58,168,-14.9,-15.8,fournev01,2023-2024,NBA
Evan Fournier,SG,31,NYK,3,39,.200,.400,.133,.250,1.000,.287,.100,.750,42,73,36,46,128,49,39,191,-11.9,-12.3,fournev01,2023-2024,NBA
Evan Fournier,SG,31,DET,2,50,.381,.444,.333,.476,.750,.505,.190,.571,80,81,91,87,96,87,75,146,-3.0,-3.5,fournev01,2023-2024,NBA
De'Aaron Fox,PG,26,SAC,48,1709,.464,.518,.376,.535,.706,.568,.315,.378,98,95,102,98,90,97,124,96,-25.4,-33.4,foxde01,2023-2024,NBA
Javon Freeman-Liberty,PG,24,TOR,2,4,.333,.333,,.333,,.333,.000,.000,70,61,,61,,57,,,-1.3,-1.5,freemja01,2023-2024,NBA
Alex Fudge,SF,20,LAL,4,14,.167,.250,.000,.167,1.000,.291,.333,.333,35,46,,30,128,50,131,85,-4.6,-4.0,fudgeal01,2023-2024,NBA
Markelle Fultz,PG,25,ORL,21,504,.491,.506,.143,.494,.562,.500,.095,.041,103,93,39,90,72,86,37,11,-18.2,-29.1,fultzma01,2023-2024,NBA
Daniel Gafford,C-PF,25,TOT,48,1256,.683,.683,,.683,.711,.702,.394,.000,143,125,,125,91,120,155,,87.8,90.7,gaffoda01,2023-2024,NBA
Daniel Gafford,C,25,WAS,45,1192,.690,.690,,.690,.706,.707,.405,.000,145,126,,126,90,121,159,,83.8,86.5,gaffoda01,2023-2024,NBA
Daniel Gafford,PF,25,DAL,3,64,.613,.613,,.613,.778,.644,.290,.000,129,112,,112,99,110,114,,4.0,4.3,gaffoda01,2023-2024,NBA
Danilo Gallinari,PF-SF,35,TOT,32,475,.451,.545,.355,.539,.850,.619,.523,.497,95,100,97,98,108,106,206,127,-2.7,13.7,gallida01,2023-2024,NBA
Danilo Gallinari,PF,35,WAS,26,385,.435,.552,.312,.511,.839,.581,.427,.489,91,101,85,93,107,100,168,125,-9.6,-0.3,gallida01,2023-2024,NBA
Danilo Gallinari,SF,35,DET,6,90,.545,.500,.583,.705,.875,.799,1.091,.545,115,92,159,129,112,137,429,139,6.9,14.1,gallida01,2023-2024,NBA
Darius Garland,PG,24,CLE,29,922,.471,.547,.331,.529,.860,.575,.260,.352,99,100,90,97,110,99,102,90,-15.6,-6.9,garlada01,2023-2024,NBA
Usman Garuba,PF,21,GSW,2,6,.000,.000,,.000,,.000,.000,.000,,,,,,,,,-1.1,-1.2,garubus01,2023-2024,NBA
Luka Garza,C,25,MIN,13,39,.440,.500,.333,.500,.667,.545,.480,.360,92,92,91,91,85,94,189,92,-2.4,-2.3,garzalu01,2023-2024,NBA
Kaiser Gates,SF,27,NOP,1,7,.000,.000,.000,.000,,.000,.000,.500,,,,,,,,127,-4.4,-4.7,gateska01,2023-2024,NBA
Keyonte George,PG,20,UTA,50,1246,.391,.447,.348,.489,.818,.541,.300,.567,82,82,95,89,104,93,118,145,-55.7,-44.9,georgke01,2023-2024,NBA
Paul George,PF,33,LAC,50,1685,.458,.518,.393,.552,.910,.595,.220,.482,96,95,107,101,116,102,86,123,7.3,23.0,georgpa01,2023-2024,NBA
Taj Gibson,PF,38,NYK,16,165,.304,.412,.000,.304,1.000,.335,.087,.261,64,75,,56,128,58,34,67,-11.2,-11.8,gibsota01,2023-2024,NBA
Josh Giddey,SG,21,OKC,53,1321,.447,.496,.325,.494,.831,.520,.140,.285,94,91,88,90,106,89,55,73,-59.8,-73.3,giddejo01,2023-2024,NBA
Harry Giles,C,25,BRK,16,81,.500,.576,.273,.534,.538,.543,.295,.250,105,105,74,97,69,93,116,64,-1.2,-3.9,gilesha01,2023-2024,NBA
Shai Gilgeous-Alexander,PG,25,OKC,53,1831,.546,.580,.371,.576,.883,.647,.452,.165,115,106,101,105,113,111,178,42,59.9,164.5,gilgesh01,2023-2024,NBA
Anthony Gill,PF,31,WAS,29,163,.489,.571,.250,.521,.750,.564,.340,.255,103,105,68,95,96,97,134,65,-2.5,-2.0,gillan01,2023-2024,NBA
Collin Gillespie,PG,24,DEN,18,137,.444,.562,.350,.542,.714,.563,.194,.556,93,103,95,99,91,97,77,142,-0.5,-1.5,gilleco01,2023-2024,NBA
Jacob Gilyard,PG,25,MEM,37,654,.417,.375,.425,.594,1.000,.597,.014,.833,88,69,116,108,128,102,5,212,13.2,4.2,gilyaja01,2023-2024,NBA
Rudy Gobert,C,31,MIN,54,1802,.647,.650,.000,.647,.645,.666,.651,.005,136,119,,118,82,114,256,1,85.4,93.0,goberru01,2023-2024,NBA
Jordan Goodwin,PG,25,TOT,42,611,.394,.461,.294,.453,.788,.481,.155,.399,83,84,80,83,100,83,61,102,-40.5,-46.1,goodwjo01,2023-2024,NBA
Jordan Goodwin,PG,25,PHO,40,558,.389,.460,.287,.448,.862,.481,.150,.415,82,84,78,82,110,83,59,106,-38.5,-41.7,goodwjo01,2023-2024,NBA
Jordan Goodwin,PG,25,MEM,2,53,.450,.467,.400,.500,.250,.483,.200,.250,95,85,109,91,32,83,79,64,-1.9,-4.4,goodwjo01,2023-2024,NBA
Aaron Gordon,PF,28,DEN,49,1555,.545,.598,.315,.575,.641,.596,.371,.189,115,110,86,105,82,102,146,48,26.1,15.7,gordoaa01,2023-2024,NBA
Eric Gordon,SG,35,PHO,47,1394,.460,.585,.388,.583,.824,.599,.109,.636,97,107,106,106,105,103,43,162,32.9,16.3,gordoer01,2023-2024,NBA
Devonte' Graham,PG,28,SAS,12,99,.367,.500,.318,.483,.750,.522,.267,.733,77,92,87,88,96,90,105,187,-3.9,-4.1,grahade01,2023-2024,NBA
Jerami Grant,PF,29,POR,47,1597,.456,.481,.403,.521,.813,.578,.376,.321,96,88,110,95,104,99,148,82,-40.6,-7.4,grantje01,2023-2024,NBA
A.J. Green,SG,24,MIL,36,335,.430,.533,.415,.612,1.000,.626,.066,.876,90,98,113,112,128,108,26,223,15.4,10.9,greenaj01,2023-2024,NBA
Danny Green,SG,36,PHI,2,18,.000,.000,.000,.000,,.000,.000,.500,,,,,,,,127,-2.2,-2.3,greenda02,2023-2024,NBA
Draymond Green,PF,33,GSW,29,781,.510,.560,.421,.586,.761,.610,.219,.362,107,102,115,107,97,105,86,92,15.8,12.8,greendr01,2023-2024,NBA
Jalen Green,SG,21,HOU,54,1653,.411,.490,.307,.477,.802,.527,.297,.432,86,90,84,87,102,91,117,110,-115.3,-101.6,greenja05,2023-2024,NBA
Jeff Green,PF,37,HOU,52,881,.482,.583,.289,.532,.826,.608,.523,.345,101,107,79,97,105,104,206,88,-7.1,13.7,greenje02,2023-2024,NBA
Josh Green,SG,23,DAL,42,1148,.491,.573,.412,.596,.660,.607,.172,.509,103,105,112,109,84,104,68,130,28.0,15.3,greenjo02,2023-2024,NBA
AJ Griffin,SF,20,ATL,18,132,.289,.333,.273,.389,1.000,.403,.044,.733,61,61,74,71,128,69,17,187,-14.3,-16.5,griffaj01,2023-2024,NBA
Quentin Grimes,SG,23,NYK,45,910,.395,.486,.363,.530,.706,.543,.119,.741,83,89,99,97,90,93,47,189,-10.5,-23.6,grimequ01,2023-2024,NBA
Mouhamadou Gueye,PF,25,TOR,1,6,.333,.333,,.333,,.333,.000,.000,70,61,,61,,57,,,-1.3,-1.5,gueyemo01,2023-2024,NBA
Mouhamed Gueye,PF,21,ATL,2,4,.000,,.000,.000,,.000,.000,1.000,,,,,,,,255,-1.1,-1.2,gueyemo02,2023-2024,NBA
Rui Hachimura,PF,25,LAL,42,1018,.515,.576,.400,.584,.728,.608,.247,.349,108,105,109,107,93,104,97,89,27.2,21.3,hachiru01,2023-2024,NBA
Ashton Hagans,PG,24,POR,4,60,.417,.625,.000,.417,.500,.427,.167,.333,88,114,,76,64,73,66,85,-3.2,-4.0,haganas01,2023-2024,NBA
Tyrese Haliburton,PG,23,IND,43,1376,.492,.584,.400,.592,.853,.626,.229,.499,103,107,109,108,109,108,90,127,59.6,65.6,halibty01,2023-2024,NBA
R.J. Hampton,PG,22,MIA,8,76,.286,.500,.125,.321,.500,.336,.143,.571,60,92,34,59,64,58,56,146,-6.3,-7.3,hamptrj01,2023-2024,NBA
Tim Hardaway Jr.,SF,31,DAL,52,1547,.414,.490,.365,.525,.877,.561,.186,.606,87,90,100,96,112,96,73,154,-34.2,-35.1,hardati02,2023-2024,NBA
James Harden,PG,34,LAC,48,1661,.450,.491,.421,.574,.874,.641,.434,.588,95,90,115,105,111,110,171,150,28.3,76.4,hardeja01,2023-2024,NBA
Jaden Hardy,SG,21,DAL,50,783,.409,.449,.369,.501,.717,.520,.142,.503,86,82,101,91,91,89,56,128,-34.7,-49.6,hardyja02,2023-2024,NBA
Ron Harper Jr.,PF,23,TOR,1,4,,,,,,,,,,,,,,,,,.0,.0,harpero02,2023-2024,NBA
Gary Harris,SG,29,ORL,33,743,.432,.644,.331,.544,.781,.568,.175,.678,91,118,90,99,100,98,69,173,-1.6,-5.6,harriga01,2023-2024,NBA
Joe Harris,SG,32,DET,16,170,.359,.444,.333,.487,.500,.489,.051,.769,75,81,91,89,64,84,20,196,-4.7,-7.5,harrijo01,2023-2024,NBA
Kevon Harris,SG,26,ORL,2,6,.667,.667,,.667,,.667,.000,.000,140,122,,122,,114,,,.7,.5,harrike01,2023-2024,NBA
Shaquille Harrison,SG,30,MEM,3,6,.500,.500,,.500,,.500,.000,.000,105,92,,91,,86,,,-0.2,-0.3,harrish01,2023-2024,NBA
Tobias Harris,PF,31,PHI,48,1630,.507,.562,.346,.551,.896,.598,.257,.254,107,103,94,101,114,103,101,65,3.6,22.5,harrito02,2023-2024,NBA
Isaiah Hartenstein,C,25,NYK,50,1280,.619,.623,.333,.621,.707,.650,.429,.013,130,114,91,113,90,112,169,3,33.8,37.1,harteis01,2023-2024,NBA
Josh Hart,SF,28,NYK,54,1613,.423,.507,.306,.487,.839,.515,.145,.416,89,93,83,89,107,88,57,106,-47.0,-55.3,hartjo01,2023-2024,NBA
Sam Hauser,SF,26,BOS,54,1162,.443,.638,.412,.620,.882,.628,.050,.862,93,117,112,113,113,108,20,220,49.2,32.0,hausesa01,2023-2024,NBA
Jordan Hawkins,SG,21,NOP,48,969,.401,.439,.381,.525,.847,.559,.190,.652,84,80,104,96,108,96,75,166,-17.4,-19.5,hawkijo01,2023-2024,NBA
Jaxson Hayes,C,23,LAL,45,496,.701,.747,.000,.701,.628,.703,.443,.062,147,137,,128,80,121,175,16,29.7,27.9,hayesja02,2023-2024,NBA
Killian Hayes,PG,22,DET,42,1008,.413,.455,.297,.452,.660,.474,.177,.261,87,83,81,83,84,81,70,67,-54.2,-66.3,hayeski01,2023-2024,NBA
Gordon Hayward,SF,33,CHO,25,798,.468,.496,.361,.505,.765,.544,.273,.205,98,91,98,92,98,93,107,52,-25.5,-25.5,haywago01,2023-2024,NBA
Scoot Henderson,PG,19,POR,43,1160,.375,.408,.310,.427,.818,.484,.292,.332,79,75,84,78,104,83,115,85,-122.6,-112.4,hendesc01,2023-2024,NBA
Taylor Hendricks,PF,20,UTA,17,250,.387,.483,.326,.487,.750,.503,.107,.613,81,88,89,89,96,86,42,156,-9.2,-12.5,hendrita01,2023-2024,NBA
Tyler Herro,SG,24,MIA,35,1179,.437,.471,.396,.527,.835,.549,.125,.454,92,86,108,96,107,94,49,116,-26.9,-45.1,herroty01,2023-2024,NBA
Buddy Hield,SG-SF,31,TOT,56,1492,.452,.584,.390,.585,.838,.595,.064,.682,95,107,106,107,107,102,25,174,43.1,15.0,hieldbu01,2023-2024,NBA
Buddy Hield,SF,31,IND,52,1336,.443,.575,.384,.575,.848,.586,.064,.691,93,105,105,105,108,101,25,176,28.3,3.7,hieldbu01,2023-2024,NBA
Buddy Hield,SG,31,PHI,4,156,.523,.640,.450,.662,.750,.667,.062,.615,110,117,123,121,96,114,24,157,14.8,11.2,hieldbu01,2023-2024,NBA
Haywood Highsmith,PF,27,MIA,40,847,.421,.500,.367,.530,.808,.551,.129,.594,88,92,100,97,103,95,51,151,-7.4,-13.7,highsha01,2023-2024,NBA
Nate Hinton,SG,24,HOU,11,58,.500,.333,.636,.675,.800,.698,.250,.550,105,61,173,123,102,120,98,140,5.1,5.1,hintona01,2023-2024,NBA
D'Moi Hodge,SG,25,LAL,7,41,.333,.667,.250,.433,.500,.441,.133,.800,70,122,68,79,64,76,52,204,-3.4,-4.5,hodgedm01,2023-2024,NBA
Aaron Holiday,PG,27,HOU,51,913,.462,.527,.409,.574,.881,.600,.145,.548,97,96,111,105,112,103,57,140,15.1,10.6,holidaa01,2023-2024,NBA
Jrue Holiday,PG,33,BOS,50,1665,.473,.500,.440,.571,.833,.591,.125,.445,99,92,120,104,106,101,49,113,24.5,9.3,holidjr01,2023-2024,NBA
Justin Holiday,SG,34,DEN,32,474,.446,.567,.394,.584,.750,.589,.040,.703,94,104,107,107,96,101,16,179,7.3,1.3,holidju01,2023-2024,NBA
Richaun Holmes,PF-C,30,TOT,25,261,.574,.574,,.574,.571,.583,.309,.000,120,105,,105,73,100,122,,3.5,.0,holmeri01,2023-2024,NBA
Richaun Holmes,C,30,DAL,23,237,.559,.559,,.559,.571,.572,.356,.000,117,102,,102,73,98,140,,1.3,-1.5,holmeri01,2023-2024,NBA
Richaun Holmes,PF,30,WAS,2,24,.667,.667,,.667,,.667,.000,.000,140,122,,122,,114,,,2.1,1.5,holmeri01,2023-2024,NBA
Chet Holmgren,C,21,OKC,54,1624,.535,.616,.393,.606,.773,.635,.271,.361,112,113,107,111,99,109,107,92,74.0,75.0,holmgch01,2023-2024,NBA
Jalen Hood-Schifino,SG,20,LAL,17,96,.237,.296,.091,.250,.625,.322,.421,.289,50,54,25,46,80,55,166,74,-22.7,-23.5,hoodsja01,2023-2024,NBA
Al Horford,C,37,BOS,45,1224,.484,.625,.409,.617,.850,.628,.072,.653,102,114,111,113,108,108,28,167,38.4,26.0,horfoal01,2023-2024,NBA
Talen Horton-Tucker,PG,23,UTA,36,726,.411,.459,.331,.473,.782,.512,.236,.375,86,84,90,86,100,88,93,96,-49.8,-51.6,hortota01,2023-2024,NBA
Danuel House Jr.,SF,30,PHI,34,509,.448,.582,.300,.519,.761,.575,.438,.476,94,106,82,95,97,99,172,121,-6.1,-1.9,houseda01,2023-2024,NBA
Caleb Houstan,SF,21,ORL,40,596,.390,.636,.371,.562,.773,.580,.143,.929,82,116,101,102,99,100,56,237,4.2,-0.7,houstca01,2023-2024,NBA
Jett Howard,SF,20,ORL,13,49,.364,.600,.294,.477,.500,.484,.182,.773,76,110,80,87,64,83,72,197,-3.1,-4.7,howarje01,2023-2024,NBA
Kevin Huerter,SG,25,SAC,52,1298,.452,.587,.368,.565,.791,.578,.092,.617,95,107,100,103,101,99,36,157,16.1,-4.1,huertke01,2023-2024,NBA
Jay Huff,C,25,DEN,8,22,.571,1.000,.400,.714,,.714,.000,.714,120,183,109,130,,123,,182,2.3,1.8,huffja01,2023-2024,NBA
De'Andre Hunter,SF,26,ATL,31,881,.470,.508,.421,.562,.894,.618,.317,.442,99,93,115,103,114,106,125,113,9.5,26.5,huntede01,2023-2024,NBA
Matthew Hurt,PF,23,MEM,3,56,.333,.500,.200,.389,1.000,.440,.167,.556,70,92,54,71,128,76,66,142,-5.7,-5.5,hurtma01,2023-2024,NBA
Bones Hyland,PG,23,LAC,19,251,.367,.429,.312,.450,.833,.471,.100,.533,77,78,85,82,106,81,39,136,-23.5,-28.0,hylanbo01,2023-2024,NBA
Joe Ingles,SF,36,ORL,41,711,.412,.420,.409,.553,.850,.575,.125,.688,87,77,111,101,108,99,49,175,1.6,-2.7,inglejo01,2023-2024,NBA
Brandon Ingram,SF,26,NOP,51,1701,.490,.531,.362,.533,.794,.577,.303,.238,103,97,99,97,101,99,119,61,-24.3,-10.7,ingrabr01,2023-2024,NBA
Kyrie Irving,SG,31,DAL,33,1119,.491,.534,.414,.565,.878,.598,.190,.358,103,98,113,103,112,103,75,91,21.8,22.0,irvinky01,2023-2024,NBA
Jonathan Isaac,PF,26,ORL,37,549,.474,.586,.281,.526,.741,.566,.331,.366,100,107,77,96,95,97,130,93,-7.8,-6.6,isaacjo01,2023-2024,NBA
Jaden Ivey,SG,21,DET,50,1383,.454,.507,.361,.519,.729,.559,.334,.363,95,93,98,95,93,96,132,93,-34.2,-32.2,iveyja01,2023-2024,NBA
Andre Jackson Jr.,SG,22,MIL,45,497,.523,.652,.375,.610,.727,.622,.128,.465,110,119,102,111,93,107,50,119,10.7,7.2,jacksan01,2023-2024,NBA
GG Jackson II,PF,19,MEM,23,447,.455,.500,.412,.560,.667,.581,.270,.510,96,92,112,102,85,100,106,130,4.8,-0.7,jacksgg01,2023-2024,NBA
Isaiah Jackson,C,22,IND,43,590,.652,.667,.000,.652,.705,.676,.424,.022,137,122,,119,90,116,167,6,38.3,40.6,jacksis01,2023-2024,NBA
Jaren Jackson Jr.,C,24,MEM,51,1623,.449,.510,.325,.503,.823,.561,.354,.330,94,93,89,92,105,96,139,84,-79.0,-43.3,jacksja02,2023-2024,NBA
Reggie Jackson,PG,33,DEN,55,1272,.457,.505,.372,.524,.776,.543,.129,.361,96,92,101,96,99,93,51,92,-25.0,-43.3,jacksre01,2023-2024,NBA
Trayce Jackson-Davis,PF,23,GSW,40,514,.686,.686,,.686,.597,.685,.462,.000,144,126,,125,76,118,182,,43.0,38.3,jackstr02,2023-2024,NBA
LeBron James,PF,39,LAL,49,1711,.520,.573,.395,.579,.741,.611,.308,.300,109,105,108,106,94,105,121,76,54.8,55.8,jamesle01,2023-2024,NBA
Jaime Jaquez Jr.,SF,22,MIA,49,1444,.492,.559,.321,.537,.815,.574,.240,.282,103,102,88,98,104,99,94,72,-10.6,-8.9,jaqueja01,2023-2024,NBA
DaQuan Jeffries,SG,26,NYK,10,30,.417,.571,.200,.458,.000,.427,.167,.417,88,105,54,84,,73,66,106,-2.2,-4.0,jeffrda01,2023-2024,NBA
Trey Jemison,C,24,TOT,9,141,.472,.472,,.472,.857,.512,.194,.000,99,86,,86,109,88,77,,-5.5,-5.5,jemistr01,2023-2024,NBA
Trey Jemison,C,24,WAS,2,1,,,,,,,,,,,,,,,,,.0,.0,jemistr01,2023-2024,NBA
Trey Jemison,C,24,MEM,7,140,.472,.472,,.472,.857,.512,.194,.000,99,86,,86,109,88,77,,-5.5,-5.5,jemistr01,2023-2024,NBA
Ty Jerome,SG,26,CLE,2,15,.500,.667,.000,.500,,.500,.000,.250,105,122,,91,,86,,64,-0.4,-0.7,jeromty01,2023-2024,NBA
Isaiah Joe,SG,24,OKC,50,929,.465,.573,.427,.623,.846,.640,.124,.739,98,105,116,114,108,110,49,188,46.8,38.2,joeis01,2023-2024,NBA
Cameron Johnson,PF,27,BRK,41,1156,.455,.522,.400,.565,.734,.581,.141,.549,96,96,109,103,94,100,55,140,15.3,-1.9,johnsca02,2023-2024,NBA
James Johnson,PF,36,IND,5,24,.400,.500,.000,.400,,.400,.000,.200,84,92,,73,,69,,51,-1.5,-1.8,johnsja01,2023-2024,NBA
Jalen Johnson,SF,22,ATL,41,1394,.524,.594,.348,.573,.743,.598,.222,.282,110,109,95,105,95,103,88,72,24.9,16.2,johnsja05,2023-2024,NBA
Keldon Johnson,SF,24,SAS,51,1526,.448,.525,.330,.513,.780,.551,.259,.395,94,96,90,94,100,95,102,101,-47.2,-46.9,johnske04,2023-2024,NBA
Keon Johnson,SG,21,BRK,3,47,.375,.250,.500,.500,1.000,.615,.500,.500,79,46,136,91,128,106,197,127,-1.5,1.3,johnske07,2023-2024,NBA
Keyontae Johnson,SF,23,OKC,7,57,.333,.300,.500,.375,,.375,.000,.167,70,55,136,68,,64,,42,-4.2,-5.0,johnske08,2023-2024,NBA
Nikola Jokić,C,28,DEN,53,1793,.577,.623,.352,.607,.813,.646,.320,.170,121,114,96,111,104,111,126,43,111.0,136.6,jokicni01,2023-2024,NBA
Colby Jones,SG,21,SAC,17,121,.370,.485,.077,.380,.400,.384,.109,.283,78,89,21,69,51,66,43,72,-15.4,-19.2,jonesco02,2023-2024,NBA
Damian Jones,C,28,CLE,25,150,.531,.600,.286,.562,.909,.624,.344,.219,112,110,78,103,116,107,135,56,.9,3.1,jonesda03,2023-2024,NBA
Derrick Jones Jr.,SF,26,DAL,50,1265,.486,.630,.341,.571,.744,.598,.250,.497,102,115,93,104,95,103,98,127,16.4,12.4,jonesde02,2023-2024,NBA
Herbert Jones,SF,25,NOP,50,1434,.497,.571,.407,.589,.860,.628,.254,.449,105,105,111,107,110,108,100,115,32.2,39.7,joneshe01,2023-2024,NBA
Tre Jones,PG,24,SAS,50,1300,.495,.588,.278,.537,.877,.576,.212,.301,104,108,76,98,112,99,83,77,-8.7,-5.6,jonestr01,2023-2024,NBA
Tyus Jones,PG,27,WAS,54,1565,.500,.541,.426,.577,.778,.585,.064,.360,105,99,116,105,99,100,25,92,32.6,3.1,jonesty01,2023-2024,NBA
DeAndre Jordan,C,35,DEN,29,327,.632,.632,,.632,.449,.605,.645,.000,133,116,,115,57,104,254,,12.7,4.3,jordade01,2023-2024,NBA
Cory Joseph,PG,32,GSW,26,296,.359,.455,.310,.461,.571,.470,.109,.656,75,83,84,84,73,81,43,167,-11.1,-15.2,josepco01,2023-2024,NBA
Nikola Jović,PF,20,MIA,22,364,.430,.404,.455,.547,.583,.557,.224,.514,90,74,124,100,74,96,88,131,-0.3,-6.0,jovicni01,2023-2024,NBA
Johnny Juzang,SG,22,UTA,2,6,.000,,.000,.000,,.000,.000,1.000,,,,,,,,255,-3.3,-3.5,juzanjo01,2023-2024,NBA
Luke Kennard,SG,27,MEM,27,667,.444,.412,.455,.618,.839,.638,.144,.764,93,75,124,113,107,110,56,195,30.3,25.5,kennalu01,2023-2024,NBA
Walker Kessler,C,22,UTA,48,1123,.652,.682,.222,.659,.560,.657,.272,.065,137,125,61,120,71,113,107,17,61.5,46.0,kesslwa01,2023-2024,NBA
Braxton Key,SF,26,DEN,15,51,.400,.455,.250,.433,.667,.482,.400,.267,84,83,68,79,85,83,157,68,-3.4,-3.6,keybr01,2023-2024,NBA
Corey Kispert,SF,24,WAS,53,1191,.481,.678,.361,.593,.780,.616,.191,.622,101,124,98,108,99,106,75,159,43.3,34.8,kispeco01,2023-2024,NBA
Maxi Kleber,C,32,DAL,19,411,.463,.618,.354,.567,.652,.586,.280,.585,97,113,96,103,83,101,110,149,3.1,.7,klebima01,2023-2024,NBA
Kevin Knox,SF,24,DET,31,560,.462,.598,.330,.546,.909,.570,.118,.505,97,109,90,100,116,98,47,129,-0.9,-5.0,knoxke01,2023-2024,NBA
John Konchar,SF,27,MEM,44,855,.424,.594,.292,.506,.786,.521,.089,.563,89,109,80,92,100,89,35,144,-13.2,-20.3,konchjo01,2023-2024,NBA
Furkan Korkmaz,SG,26,PHI,35,300,.395,.444,.350,.487,.700,.519,.263,.526,83,81,95,89,89,89,104,134,-9.3,-10.8,korkmfu01,2023-2024,NBA
Luke Kornet,C,28,BOS,39,581,.689,.689,,.689,.879,.723,.277,.000,145,126,,126,112,124,109,,33.6,37.4,kornelu01,2023-2024,NBA
Vit Krejci,PG,23,ATL,1,2,,,,,,,,,,,,,,,,,.0,.0,krejcvi01,2023-2024,NBA
Jonathan Kuminga,PF,21,GSW,52,1331,.534,.593,.317,.568,.726,.604,.370,.215,112,109,86,104,93,104,146,55,23.0,28.7,kuminjo01,2023-2024,NBA
Kyle Kuzma,PF,28,WAS,52,1649,.456,.529,.329,.516,.801,.543,.165,.365,96,97,90,94,102,93,65,93,-62.8,-83.6,kuzmaky01,2023-2024,NBA
Jock Landale,C,28,HOU,29,269,.377,.471,.111,.391,.765,.438,.246,.261,79,86,30,71,98,75,97,67,-21.6,-22.1,landajo01,2023-2024,NBA
Jake LaRavia,PF,22,MEM,11,122,.372,.579,.208,.430,.750,.447,.093,.558,78,106,57,79,96,77,37,142,-10.1,-12.1,laravja01,2023-2024,NBA
